NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,NB_CLICKS_DATASCIENCE,NB_CLICKS_BACKEND,NB_CLICKS_FRONTEND,NB_CLICKS_IA,NB_CLICKS_BDD,ORIENTATION,FAV_COURS,HAT_COURS,PROFILE
Johnny Crosby,8637916,0,38,43,0,4.752707099,4,3,11,1,1,0,2,3,1,0,41,90,86,7.586685105,6.581077088,0,236,226,0,47,PRACTICE,FRONTEND,IA,intermediate_frontend
Tom Mullins,22307025,56,12,43,38.38485746,3.32376312,7,9,9,2,2,4,10,5,2,0,80,47,79,51.42955194,31.67171952,500,1,223,168,30,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Carletta Carey,69390443,30,22,23,9.973684714,4.868088618,5,4,5,2,2,1,2,0,0,0,59,77,66,51.69661645,23.68266533,188,217,90,74,6,PRACTICE,BACKEND,BDD,intermediate_backend
Paul Taylor,68916250,48,57,53,2.716111495,21.65171384,0,6,2,2,0,2,8,4,1,2,73,39,43,6.519411226,10.07779768,322,57,88,17,175,THEORY,DATASCIENCE,IA,intermediate_datascience
William Mccoy,70927105,54,79,33,20.19173654,60.31214675,5,4,5,2,0,4,2,5,2,2,64,99,64,16.42821937,44.86449772,269,372,72,125,367,THEORY,BACKEND,IA,intermediate_backend
Angela Shirley,84754639,79,62,31,74.61143803,44.24990234,8,3,7,2,0,7,3,4,0,2,41,66,82,24.77266932,57.24042093,139,198,298,265,435,THEORY,BACKEND,IA,intermediate_backend
James Ross,84551998,80,41,51,51.33875178,27.16348033,2,8,4,0,0,5,4,5,0,1,47,48,56,5.40448143,4.309694126,481,274,240,308,227,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Helen Born,51987544,12,92,66,8.057749784,0.57827022,2,7,0,1,1,3,5,1,2,1,57,71,66,51.61063629,65.61662326,98,333,102,53,0,THEORY,BACKEND,IA,intermediate_backend
Benjamin Spangler,22350748,0,9,34,0,1.27928982,2,2,4,2,0,2,4,5,0,2,92,68,69,54.55156133,58.34542728,0,74,143,0,6,PRACTICE,FRONTEND,IA,intermediate_frontend
John Jones,62862876,41,83,59,8.158677697,18.53369658,3,4,3,2,1,5,4,2,0,1,92,60,77,53.81875607,16.79192092,312,404,111,27,144,THEORY,BACKEND,BDD,intermediate_backend
Micheal Merritt,59780057,35,69,30,14.64168524,18.76495338,3,2,5,1,2,6,0,4,1,1,84,69,62,4.694989062,23.41571662,199,491,224,71,49,PRACTICE,BACKEND,IA,intermediate_backend
Max Holman,16441157,31,75,69,23.27913375,10.98199062,2,1,4,1,2,6,2,7,0,0,74,76,84,31.17707889,3.855286941,44,617,120,80,80,THEORY,FRONTEND,BDD,intermediate_frontend
Patrice Kaltz,77557727,57,71,36,5.778255161,29.13240415,3,2,6,0,0,5,8,7,0,1,46,68,35,8.966421863,49.61406729,398,348,302,52,274,PRACTICE,BACKEND,IA,intermediate_backend
Roberto Macquarrie,63483015,40,50,52,11.11411104,3.759029251,4,6,4,1,1,5,8,5,1,1,84,32,52,67.91632761,5.497202925,58,304,196,67,15,THEORY,DATASCIENCE,BDD,intermediate_datascience
Juan Ali,36336002,46,42,33,12.71067899,31.500932,2,6,3,2,1,2,5,1,1,0,80,50,57,26.89018449,14.76838016,114,407,169,124,232,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Nicholas Conner,49110044,26,31,44,11.23249212,24.41934441,3,5,1,1,1,6,6,0,2,0,92,73,80,37.07896873,29.0514093,40,298,206,12,53,THEORY,FRONTEND,IA,intermediate_frontend
Trevor Franklin,79845839,68,43.5522635,0,66.66507438,25.01061418,6,6,4,2,2,4,3,3,2,1,64,72,49,41.0020352,29.27475417,83,33,0,309,36,THEORY,DATASCIENCE,FRONTEND,intermediate_datascience
Kathryn Filler,73052004,55,51,47,3.712640068,4.574948729,4,0,3,1,0,7,3,4,2,0,62,69,69,44.48014524,55.30713433,1,345,144,33,29,THEORY,BACKEND,IA,intermediate_backend
Rachel Bland,50585939,12,40,41,6.224411933,35.60332678,9,4,7,1,2,1,5,3,1,2,82,65,92,64.77832637,32.17427014,13,110,383,30,268,PRACTICE,FRONTEND,BDD,intermediate_frontend
Billy Krupp,86085754,18,7,38,3.228564276,6.759450801,0,0,9,0,1,7,6,1,0,0,65,100,61,11.36607331,5.564736246,161,20,368,30,13,PRACTICE,BACKEND,BDD,intermediate_backend
Joshua Smith,53197822,57,43,44,55.32856309,8.701633094,2,4,4,2,2,3,4,3,0,1,61,46,71,16.01572211,27.62487335,284,242,197,362,9,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
John Rudolph,44508656,36,50,33,4.07892617,35.23199097,4,3,6,0,0,0,3,2,0,1,69,57,61,6.374693793,17.48813595,18,111,3,30,106,THEORY,BACKEND,IA,intermediate_backend
Ryan Rosenberg,53128491,54,47,47,21.79445413,39.57111564,6,4,4,0,0,5,3,4,0,2,51,72,94,43.67880194,24.47023844,77,312,44,13,59,THEORY,FRONTEND,BDD,intermediate_frontend
Susan Hutchins,52226222,31,54,48,22.87443453,29.15155022,3,5,2,2,0,4,4,0,1,1,66,48,62,20.81875088,9.920120394,184,189,20,13,88,THEORY,FRONTEND,BDD,intermediate_frontend
Tonya Williams,22868345,60,0,74,42.27326568,0,2,5,5,1,1,3,7,1,2,0,57,50,79,7.190444881,5.586245506,545,0,706,184,0,PRACTICE,FRONTEND,BDD,intermediate_frontend
Jeannine Vinyard,35404835,0,75,40,0,35.89190363,4,1,6,0,2,5,0,1,2,2,90,80,80,28.02183775,20.4948704,0,39,134,0,142,THEORY,BACKEND,IA,intermediate_backend
Raymond Sou,81321560,51,42,11,17.67273257,21.51528753,6,1,6,1,1,4,5,4,2,1,53,81,93,3.029541568,71.02434587,75,35,26,165,92,THEORY,BACKEND,IA,intermediate_backend
John Austin,7548299,49,80,3,19.48300655,32.05096354,5,1,2,1,0,2,6,2,1,0,62,69,74,51.86817157,60.15041492,232,363,9,160,274,PRACTICE,BACKEND,IA,intermediate_backend
Fernando Rosenberg,57767115,14,13,66,3.699867684,12.08795242,3,4,3,0,1,4,4,5,2,0,75,78,75,21.52771447,73.71480575,112,11,591,30,19,PRACTICE,FRONTEND,IA,intermediate_frontend
Todd Couto,43063836,39,50,37,8.00798461,37.19415555,5,6,1,0,0,3,3,5,1,1,66,82,50,23.10478595,2.806431307,320,349,99,15,40,THEORY,BACKEND,IA,intermediate_backend
Patrick Rand,90427049,30,44,42,14.49119093,10.61727226,2,1,2,0,2,8,6,6,0,1,64,85,64,60.18174367,76.54336203,94,208,141,6,92,THEORY,BACKEND,IA,intermediate_backend
Maria Mcghee,55362793,19,45,38,5.102141365,26.35007343,0,2,6,1,0,2,7,0,1,1,80,73,67,15.14649579,26.39079927,87,254,214,8,68,THEORY,BACKEND,IA,intermediate_backend
Linda Hinkle,83474971,47,54,82,13.51069825,37.18921415,5,4,1,2,2,4,3,3,1,1,47,63,62,9.587122005,40.86008033,335,255,645,15,84,PRACTICE,FRONTEND,IA,intermediate_frontend
Kyle Fontenot,53736216,27,38,10,17.73241371,5.325944025,2,5,1,2,2,2,10,0,2,0,65,62,41,36.43037382,38.42902633,241,31,5,61,27,THEORY,BACKEND,BDD,intermediate_backend
Adam Rodiguez,10716387,52,39,68,50.36394125,13.97860395,1,5,5,0,0,2,2,5,0,1,54,79,94,52.50290528,13.56427743,491,161,368,164,53,PRACTICE,FRONTEND,BDD,intermediate_frontend
Raymond Powers,30459107,46,73,30,27.76731123,66.10502456,5,3,2,1,2,3,3,6,1,0,60,72,69,54.0708406,12.39129572,188,226,68,217,624,PRACTICE,BACKEND,BDD,intermediate_backend
Charles Rodriguez,81517880,57,30,44,4.387829623,17.01519301,6,1,6,0,2,4,6,2,1,0,43,47,44,25.49414046,10.02909967,161,96,301,14,40,THEORY,DATASCIENCE,BDD,intermediate_datascience
Paula Orts,51202824,16,105,85,1.209337822,22.78476334,2,0,7,1,0,5,1,6,1,0,83,65,67,67.41509494,17.47092637,96,514,579,1,133,PRACTICE,BACKEND,BDD,intermediate_backend
Donald Legarreta,50415034,55,52,42,52.32827715,6.384809502,5,6,4,2,0,4,5,1,1,1,69,66,53,33.64591199,24.38243504,333,219,75,508,43,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Jay Castro,92101932,0,19,53,0,9.846310976,5,3,7,2,0,1,1,3,2,0,43,50,59,18.68901532,22.7505705,0,104,366,0,20,PRACTICE,FRONTEND,IA,intermediate_frontend
Cynthia Canning,38821355,66,91,47,6.076421081,49.8394008,5,0,3,0,1,5,2,5,2,2,46,100,80,18.42141768,35.91143761,38,506,149,51,118,THEORY,BACKEND,IA,intermediate_backend
David Beeson,61049326,38,53,46,22.76369431,17.72396592,3,3,0,0,0,1,7,4,2,1,60,56,86,27.27178664,33.00026745,120,120,377,2,6,THEORY,FRONTEND,IA,intermediate_frontend
Jean Markus,46566731,11,21,64,6.860136561,13.2387366,0,1,0,2,0,4,6,1,0,2,84,66,68,59.38205648,10.37238739,71,180,489,16,65,PRACTICE,FRONTEND,BDD,intermediate_frontend
Joshua Whelan,18547997,15,48,26,9.727572302,3.296864939,6,2,7,1,2,0,4,2,2,1,62,72,72,50.93093056,67.12918695,66,456,88,18,12,PRACTICE,BACKEND,IA,intermediate_backend
Ann Perez,48265167,88,67,44,23.53137845,9.724359449,5,0,0,2,2,6,9,0,1,1,61,65,67.1104446,35.13601016,54.42300794,542,421,92,132,76,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Charles Himes,93227682,64,17,17,0.96708379,9.286654957,3,4,3,1,2,4,4,5,1,2,65,44,53,56.48156952,2.28025052,429,135,119,4,77,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Julia Peters,25588734,33,54,20,31.84550719,3.338047468,5,4,5,0,1,4,4,0,0,1,61,70,67,38.96110885,32.31086343,38,304,159,78,9,THEORY,BACKEND,BDD,intermediate_backend
Linda Greely,92148158,73,83,26,18.31519234,73.11542749,7,6,4,2,1,3,9,0,0,1,76,63,68,61.00788579,51.32527995,484,619,33,15,431,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Carlos Severson,17352608,18,86,56,12.16847318,12.22458786,5,2,5,0,0,1,5,5,1,0,42,73,28,28.96355536,25.72937425,6,824,191,25,53,PRACTICE,BACKEND,BDD,intermediate_backend
Roger Jackson,246781,66,9,50,46.63757141,6.065278867,3,6,6,2,2,2,1,0,2,1,48,66,70,37.14161782,27.94638994,428,22,55,168,5,THEORY,FRONTEND,BDD,intermediate_frontend
Steven Quintana,61678313,13,50,22,7.930096422,19.56017209,5,7,3,0,2,2,5,3,2,2,78,80,68,1.486201438,79.66046373,119,499,69,35,5,PRACTICE,BACKEND,IA,intermediate_backend
James Cole,90200088,15,14,59,4.693610913,5.597028466,4,1,1,2,2,6,5,3,1,2,68,36,43,58.97104798,27.19831128,147,77,396,14,3,PRACTICE,FRONTEND,BDD,intermediate_frontend
James Gorecki,45787473,28,24,65,7.590695105,18.35734869,2,0,7,2,1,7,3,1,0,1,45,78,49,39.86709352,21.60399054,35,215,340,71,18,THEORY,FRONTEND,BDD,intermediate_frontend
Pat Greer,51012268,37,38,56,22.11372646,18.9795611,1,3,9,0,0,7,5,0,1,0,57,98,53,47.95477681,55.39399089,51,101,205,9,75,THEORY,BACKEND,IA,intermediate_backend
Mathew Fox,21948230,57,61,17,49.36745112,44.26498328,6,4,7,2,1,5,1,8,0,2,75,59,52,54.76173619,47.3596365,501,447,94,470,206,PRACTICE,DATASCIENCE,FRONTEND,intermediate_datascience
Carol Anderson,55010541,26,71,36,24.61507695,35.86857724,6,1,6,2,2,4,2,3,2,1,64,54,87,50.40151392,15.13505512,240,700,76,107,264,PRACTICE,BACKEND,BDD,intermediate_backend
Joanne Cochran,41870643,18,76,52,1.906304479,45.06080595,4,5,4,2,1,5,5,4,2,1,75,77,60,13.59195498,5.862802671,45,392,191,9,150,THEORY,BACKEND,IA,intermediate_backend
Gilbert Bryan,35925984,14,46,41,2.167600576,34.99287288,3,4,3,2,0,8,4,6,1,2,70,83,62,3.333774159,27.37581657,50,64,82,10,180,THEORY,BACKEND,IA,intermediate_backend
Terry Thomas,66661798,45,39,33,42.51313165,23.68504097,1,8,4,0,0,3,4,1,2,0,43,64,34,12.45896294,56.48441021,249,332,93,202,202,PRACTICE,BACKEND,IA,intermediate_backend
Jason Yerkey,34449440,26,56,44,19.14991594,34.47444613,4,4,4,0,2,1,5,3,1,0,50,78,42,22.12230436,36.49400111,100,371,395,48,209,PRACTICE,BACKEND,IA,intermediate_backend
Kenneth Lee,60211872,0,78,23,0,61.55912813,2,5,5,2,1,0,9,2,1,2,65,71,52,17.60058193,42.40561834,0,441,42,0,293,THEORY,BACKEND,IA,intermediate_backend
Brittany Garcia,63039932,48,85,31,9.726366438,80.67237934,5,3,0,2,2,3,5,4,0,2,58,84,88,50.49850521,3.470135931,373,35,284,49,322,THEORY,BACKEND,IA,intermediate_backend
Alice Robinson,33710589,9,21,39,5.28827284,7.911039233,3,1,2,0,2,2,4,4,1,2,42,51,72,40.50497747,12.21296212,34,23,273,50,12,THEORY,FRONTEND,BDD,intermediate_frontend
Donald Honaker,40866426,42,12,62,29.44786297,6.925405887,6,4,4,2,0,0,2,3,1,2,46,83,16,35.45648073,65.13543074,40,1,70,39,0,THEORY,BACKEND,IA,intermediate_backend
Mabel Clark,80468948,29,21,69,19.72324468,1.811736312,2,5,5,1,2,6,5,4,2,0,69,82,70,32.88598614,58.32905493,40,171,445,80,13,PRACTICE,FRONTEND,IA,intermediate_frontend
Harold Brower,10006799,7,77,52,2.857061836,27.6278988,2,5,1,0,2,5,5,3,0,2,73,66,83,10.64072767,7.317482332,42,37,285,21,270,THEORY,BACKEND,IA,intermediate_backend
Raymond Harris,58706884,9,74,50,0.138554025,30.49164272,3,4,4,2,0,3,5,5,0,0,46,81,46,40.11389079,66.45672611,80,51,444,0,85,THEORY,BACKEND,IA,intermediate_backend
Virginia Roden,75664310,37,56,43,21.5682641,46.77328974,3,2,5,1,1,4,2,7,0,0,90,84,60,75.77994839,44.67359666,179,275,2,104,292,THEORY,BACKEND,BDD,intermediate_backend
Rhonda Selleck,81371359,14,38,46,3.543421549,19.50891128,4,0,9,2,1,1,1,3,2,0,38,64,71,6.167347431,15.99495923,108,378,67,31,101,PRACTICE,FRONTEND,IA,intermediate_frontend
Shawn Thibodeaux,94273283,58,7,36,26.11474628,5.117464613,4,6,5,2,1,5,6,3,0,1,70,56,73,3.409415116,8.708445427,205,14,169,60,48,THEORY,DATASCIENCE,BDD,intermediate_datascience
Paul Toner,25022762,20,30,55,19.1516203,0.570222001,1,5,3,2,0,2,6,3,2,1,38,70,43,34.16059223,12.00155984,77,78,65,85,5,THEORY,BACKEND,BDD,intermediate_backend
Stanley Trinh,95710268,27,29,83,10.77395358,13.47028742,3,3,5,1,2,3,6,4,0,1,64,56,53,52.60416998,23.40780809,22,41,609,50,54,THEORY,FRONTEND,BDD,intermediate_frontend
Manuel Johnson,59994676,80,68,23,67.18412853,61.28960123,6,2,2,1,1,6,5,4,1,2,63,71,76,58.85789973,62.20259202,63,172,26,0,79,THEORY,DATASCIENCE,FRONTEND,intermediate_datascience
Alan Lieb,55382890,8,28,48,1.508324846,6.280789461,4,2,7,0,0,4,2,3,0,1,55,97,68,19.68334933,35.67388215,9,90,289,12,30,THEORY,BACKEND,IA,intermediate_backend
Brenda Harrelson,13261366,29,39,11,19.50135444,1.229365227,6,5,5,2,1,5,3,5,2,1,64,72,63,42.10748208,46.87779994,259,328,42,165,5,PRACTICE,BACKEND,BDD,intermediate_backend
Mark Blake,26865894,51,48,43,49.82735468,20.80361922,1,2,3,2,1,1,6,4,2,2,77,38,64,66.54327837,5.424689903,283,91,320,80,58,THEORY,DATASCIENCE,BDD,intermediate_datascience
Angela Harrison,94362416,44,65,20,4.483296438,45.78806834,5,5,5,1,1,4,4,5,1,1,53,71,45,18.09572203,4.535810195,361,371,124,4,417,PRACTICE,BACKEND,IA,intermediate_backend
Mary Glenn,86727784,10,34,14,0.083199422,15.45175923,9,4,7,2,2,4,2,4,1,0,85,67,70,40.334847,27.54632884,65,288,73,0,90,PRACTICE,BACKEND,IA,intermediate_backend
Mike Hawkins,19579202,63,43.5522635,7,27.31571594,20.03309671,1,9,4,2,0,3,2,3,2,0,60,71,56,31.9011739,11.6761018,389,408,63,172,68,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Melvin Rodriguez,70718046,11,51,70,1.018880314,34.1600571,4,1,2,2,1,0,6,5,0,2,47,76,63,1.375799913,14.79585093,97,507,349,1,223,PRACTICE,FRONTEND,IA,intermediate_frontend
Donald Douglass,54010791,77,56,45,57.62559493,14.24577326,7,4,3,1,1,5,2,2,1,2,66,47,100,54.67307888,12.67292628,218,459,443,54,118,PRACTICE,FRONTEND,BDD,intermediate_frontend
Richard Dixon,37301572,32,59,6,29.26555724,44.36149771,2,6,3,2,0,1,6,2,1,0,87,62,59,82.11052296,3.813307742,173,410,28,86,220,PRACTICE,BACKEND,BDD,intermediate_backend
Addie Biddle,51989258,9,70,41,3.906188754,10.71794716,6,1,7,2,0,7,3,5,0,2,77,62,61,32.11931995,49.65340962,79,383,115,23,63,THEORY,BACKEND,IA,intermediate_backend
Stephen Bohlke,70724283,54,25,64,13.97042868,9.893765132,2,5,3,0,0,3,6,5,2,2,49,76,75,29.94644353,41.19642665,385,146,515,1,32,PRACTICE,FRONTEND,IA,intermediate_frontend
Brent Whitten,31905494,54,60,0,23.45777923,39.36048651,6,2,6,2,0,2,5,5,1,2,61,67,79,33.03889085,27.27709596,39,148,0,213,356,THEORY,BACKEND,IA,intermediate_backend
Greg Warren,14292497,17,18,48,12.2986129,14.91064213,4,2,3,1,0,5,2,3,1,2,65,51,67,22.61328786,16.89655579,32,42,114,6,125,THEORY,FRONTEND,BDD,intermediate_frontend
Thomas Nestle,12364348,46,56,41,0.416491433,44.32573999,8,3,7,1,2,3,7,5,2,0,56,57,74,4.616105879,0.05550651,39,321,159,3,108,THEORY,FRONTEND,IA,intermediate_frontend
Tom Smith,61551176,68,38,38,40.08287128,27.42405277,6,2,6,2,0,6,5,1,0,2,48,51,43,24.96656054,44.33719618,0,49,273,92,139,THEORY,DATASCIENCE,IA,intermediate_datascience
James Palmer,17963446,29,51,52,17.78545886,18.31391556,3,2,0,0,1,4,4,6,0,1,53,80,98,12.93780099,60.94996189,245,470,151,45,183,PRACTICE,FRONTEND,IA,intermediate_frontend
Adam Mcbride,93335668,52,63,29,33.15978884,7.705171927,7,3,5,2,2,4,4,5,1,2,57,64,100,37.18359492,46.78798783,405,472,62,275,29,PRACTICE,FRONTEND,BDD,intermediate_frontend
Jan Scaglione,60310465,27,16,29,6.534596159,3.469347483,7,1,5,2,1,4,6,8,2,2,90,80,84,48.35000333,13.95619368,50,63,143,52,0,THEORY,DATASCIENCE,BDD,intermediate_datascience
Tyler Evans,58137066,25,39,33,17.85131808,33.72851877,3,4,3,2,2,3,8,2,0,0,58,59,78,34.25064868,3.079587473,167,378,129,0,221,PRACTICE,FRONTEND,BDD,intermediate_frontend
Carolyn Drath,85450036,45,53,35,4.112616885,45.43856262,4,5,5,1,0,4,4,2,2,1,50,73,70,30.08693383,4.723219122,36,393,301,11,416,PRACTICE,BACKEND,IA,intermediate_backend
Robert Martin,4276077,46,33,57,9.166435477,31.40150813,4,4,4,2,2,2,6,4,1,2,52,77,52,46.05541196,41.29263967,383,313,525,65,196,PRACTICE,BACKEND,IA,intermediate_backend
Betty Smith,88904571,43,11,20,37.73121201,0.835875171,3,4,3,1,1,2,6,4,0,2,69,63,69,10.17203587,40.07581747,94,49,82,195,1,THEORY,DATASCIENCE,BDD,intermediate_datascience
Ralph Knobbe,83908547,33,49,55,24.37786397,26.30364518,4,5,3,0,2,4,4,2,2,0,74,62,68,59.61902465,61.88825932,154,238,186,108,151,THEORY,FRONTEND,IA,intermediate_frontend
Jeffrey Roberts,35547750,2,44,0,0.027491108,28.54205398,2,1,0,2,2,2,5,6,2,2,60,63,86,57.28347357,32.90891563,9,246,0,0,212,PRACTICE,BACKEND,IA,intermediate_backend
Judy Roberts,10858724,49,23,5,12.17043676,16.34511967,3,7,1,1,0,8,2,8,1,2,73,79,63,52.65593565,26.25805867,81,23,32,82,60,THEORY,DATASCIENCE,BDD,intermediate_datascience
Emil Bartus,16503837,31,46,42,6.646600973,29.61770881,4,5,0,1,1,3,8,1,0,2,76,74,86,10.56787287,50.30260236,132,72,370,28,219,PRACTICE,FRONTEND,IA,intermediate_frontend
Brandon Sotello,38993268,0,45,0,0,34.65051255,1,4,4,1,2,0,4,4,1,0,86,50,54,73.12065957,32.1970904,0,57,0,0,154,THEORY,BACKEND,FRONTEND,intermediate_backend
Randall Dorman,25432136,32,41,35,7.921912649,14.73833463,2,5,5,2,1,5,2,5,1,2,75,66,56,59.38474837,1.511652055,231,211,132,26,106,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Nakita Vidrio,67271540,45,77,53,2.813683308,13.81632345,4,2,4,0,2,3,4,0,0,1,92,100,80,79.37250501,12.37202956,356,427,72,7,128,PRACTICE,BACKEND,BDD,intermediate_backend
James Stanley,14527404,12,19,21,5.507286199,3.887084071,2,2,8,1,1,4,5,2,2,2,68,87,79,33.07122288,60.23437646,16,145,200,49,8,PRACTICE,BACKEND,IA,intermediate_backend
Lakesha Dorsch,74511435,70,31,19,51.29134324,0.371339374,6,3,2,2,1,4,4,3,2,0,60,40,80,49.21470737,3.294046433,462,41,165,376,3,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Frances Nunez,9227462,71,42,53,43.07795245,14.71351863,2,8,0,1,1,3,3,0,2,1,57,67,67.1104446,8.778773611,54.0153777,201,364,254,362,62,PRACTICE,DATASCIENCE,IA,intermediate_datascience
Mark Richardson,43104895,47,47,14,31.62496842,4.311970391,2,6,10,1,0,7,6,4,0,0,50,59,36,28.83367951,53.55997379,386,248,41,28,27,PRACTICE,BACKEND,FRONTEND,intermediate_backend
James Toy,93375049,83,56,23,6.735381819,18.0033668,3.698608191,3,4,2,0,4,6,4,1,2,60,66,43,33.10431724,13.19976243,772,180,128,41,124,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Manuel Moffitt,82839227,62,54,61,58.99242403,33.92334417,3,5,7,1,1,8,4,0,2,2,48,83,55,43.04324503,41.95507748,576,201,241,0,98,THEORY,BACKEND,BDD,intermediate_backend
Matthew Mckee,90576287,60,69,21,50.30951003,61.71898584,5,1,6,1,1,1,8,5,2,0,69,64,78,59.54080268,20.13109838,477,260,113,152,454,PRACTICE,BACKEND,BDD,intermediate_backend
Chad Moy,3496979,24,9,60,19.32216764,7.556449059,1,0,7,2,0,5,3,1,0,2,55,65,45,39.38222031,33.86074702,130,65,117,49,69,THEORY,FRONTEND,BDD,intermediate_frontend
Dorthy Suttle,66046578,57,65,59,46.91007689,16.42382378,6,2,1,0,2,6,8,0,0,1,53,82,100,9.266945747,50.50861153,229,3,117,369,52,THEORY,FRONTEND,IA,intermediate_frontend
Betty Young,76020548,0,1,39,0,0.134083142,0,2,3,0,1,2,5,4,1,0,50,60,76,40.33720915,0.703612175,0,8,248,0,0,PRACTICE,FRONTEND,BDD,intermediate_frontend
Don Mckinney,57367079,22,54,36,11.97358725,10.42590279,4,6,2,0,1,2,5,3,1,2,77,66,75,47.29724509,59.09604237,34,393,23,16,72,THEORY,BACKEND,IA,intermediate_backend
Mary Woods,33433700,0,88,41,0,85.44682537,2,3,5,0,0,7,8,6,2,1,67,68,79,54.71190186,25.1066453,0,83,268,0,111,THEORY,BACKEND,IA,intermediate_backend
Rudolph Thomas,93412834,58,57,53,35.77344926,31.32004534,5,3,4,2,2,5,1,3,2,2,67,42,85,62.86992087,8.057101183,388,73,451,334,295,PRACTICE,FRONTEND,BDD,intermediate_frontend
Leonard Wells,23052116,66,67,24,49.03017858,12.22764894,7,3,1,2,1,5,5,3,0,2,83,44,96,37.35735332,1.412613158,408,61,23,59,61,THEORY,DATASCIENCE,BDD,intermediate_datascience
Roger Chavez,79545067,3,19,30,2.21375218,15.97417694,3,0,6,0,1,5,4,3,1,0,80,76,67.1104446,59.56049532,75.44555364,3,34,267,0,127,PRACTICE,FRONTEND,IA,intermediate_frontend
Karen Weaver,68125280,22,70,52,11.47187853,27.6633871,2,6,3,2,1,5,5,2,2,1,60,56,64,58.37718659,42.52978379,61,107,136,110,25,THEORY,BACKEND,IA,intermediate_backend
Robert Combass,18467537,79,0,70,5.408238827,0,4,6,8,0,1,7,5,3,0,1,49,55,88,10.46892835,25.07819517,67,0,196,21,0,THEORY,FRONTEND,IA,intermediate_frontend
Wendell Mcgregor,2350482,59,65,45,21.89566337,16.94401324,5,1,2,1,0,5,4,2,1,1,72,86,70,60.98393343,74.46523011,304,239,411,54,60,PRACTICE,BACKEND,IA,intermediate_backend
Pamela Auker,47761453,75,10,53,69.05749563,3.932217588,4,8,4,1,2,6,4,1,1,2,50,70,72,7.096682419,31.92920055,493,63,281,409,36,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Gregory Walker,32900961,22,67,34,12.85787601,33.83150011,3,3,4,1,2,6,0,4,1,2,72,78,62,1.233438314,53.6566675,155,241,202,104,149,PRACTICE,BACKEND,IA,intermediate_backend
Dan Webb,98048872,13,60,0,6.998315262,53.55692005,4,4,2,0,1,0,7,1,0,0,77,54,70,65.22111059,51.68739322,47,221,0,59,258,THEORY,BACKEND,FRONTEND,intermediate_backend
Matthew Reny,94772686,8,57,6,2.150828115,49.5191736,1,4,4,1,2,0,5,2,1,0,98,82,78,94.06778445,57.91206796,36,370,17,2,250,PRACTICE,BACKEND,FRONTEND,intermediate_backend
Chris Brock,20516483,4,147,70,1.47379568,84.43019533,6,4,1,0,2,7,5,4,0,2,91,84,89,2.93122306,20.16980309,37,303,553,9,61,THEORY,BACKEND,IA,intermediate_backend
David Carner,26731684,33,65,17,29.54642094,14.41540814,6,3,5,2,2,7,0,3,0,2,73,51,59,61.64284611,47.60181038,239,134,166,0,119,THEORY,BACKEND,BDD,intermediate_backend
Lisa Hall,83164595,38,38,54,25.32559581,15.32756493,3,4,2,1,1,5,3,4,0,1,54,52,81,37.76726304,1.155010568,310,254,493,146,133,PRACTICE,FRONTEND,BDD,intermediate_frontend
Eleanor Tim,79050901,18,58,48,14.17296648,56.58671779,2,6,0,1,2,4,5,4,1,2,46,86,80,32.19030772,79.15891153,6,20,87,69,92,THEORY,BACKEND,IA,intermediate_backend
Jamie Butler,50965277,21,17,29,9.541253884,10.33214481,3,1,2,1,2,4,5,4,2,1,68,55,62,31.25428184,52.91689016,7,95,284,8,49,PRACTICE,FRONTEND,IA,intermediate_frontend
Michael Clark,77351006,90,22,26,56.72224975,17.18415061,2,5,5,2,1,3,1,3,2,0,47,39,53,19.60368564,3.580549321,206,184,20,135,167,THEORY,DATASCIENCE,BDD,intermediate_datascience
Steve Tharp,58335236,44,48,63,10.92887878,21.59350538,5,4,4,0,0,3,3,3,0,2,67,84,75,24.99226439,4.703341491,69,473,538,1,187,PRACTICE,FRONTEND,BDD,intermediate_frontend
