NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
Helen Deering,83284635,66,31,8,0,7,6,2,6,1,69,71,67,beginner_front_end
Nicholas Jones,70801992,13,37,23,3,4,3,0,7,2,68,60,67,beginner_backend
Helga Davis,77298432,38,61,0,8,5,3,4,5,0,68,64,69,advanced_data_science
Frank Spurling,48589794,35,50,71,5,5,6,0,1,4,81,68,68,beginner_data_science
Donald Cohen,99081941,69,16,10,4,6,4,4,2,4,63,61,61,beginner_front_end
Penny Loveman,39158523,21,31,29,3,5,2,2,9,0,83,53,78,beginner_backend
Sylvia Bartlett,78176113,15,78,47,2,5,2,5,6,3,63,58,72,advanced_data_science
Jennifer Kent,86382207,51,48,27,4,3,7,3,4,6,42,84,86,advanced_data_science
Steven Gomez,19520898,34,85,28,6,3,6,3,6,2,72,51,73,advanced_data_science
Leonard Allison,37521864,0,21,40,4,0,0,2,3,2,94,69,54,beginner_front_end
Willie Deacon,76784284,40,103,41,5,7,0,4,3,1,63,84,63,advanced_front_end
Lisa Anthony,12298537,47,47,14,5,5,4,4,1,3,62,64,79,advanced_backend
John Copeland,67863735,39,33,48,4,1,3,5,5,4,65,66,78,beginner_backend
Lillian Strode,21566551,3,56,27,7,3,6,5,0,3,83,57,100,advanced_backend
Thomas Farris,21531727,35,53,55,4,4,2,4,5,4,72,95,80,beginner_backend
Betty Coyt,76632209,89,60,35,4,2,3,3,4,4,70,68,64,advanced_backend
Rose Gee,70618004,26,16,38,2,2,2,5,3,4,70,61,66,beginner_data_science
Catherine Mccray,3794071,5,16,40,4,3,6,2,2,3,57,69,80,beginner_data_science
Edwin Box,14425753,75,0,33,1,5,4,2,5,1,58,55,75,beginner_front_end
Christopher Conley,9624073,17,58,55,4,4,2,2,7,4,53,82,59,advanced_front_end
Cynthia Leonberger,64113248,0,39,59,2,3,5,2,7,4,51,66,43,advanced_front_end
Jo Bowman,3341626,39,49,21,0,6,5,1,7,4,75,66,72,beginner_backend
William Barbin,6223445,60,33,81,2,1,2,10,7,1,69,79,44,beginner_data_science
Jesse Nixon,50568850,78,28,11,3,6,3,5,7,7,74,36,51,beginner_front_end
Steve Sheehan,32191976,39,71,24,5,4,4,4,7,2,73,66,75,advanced_data_science
Craig Sierra,41516821,66,53,15,2,5,2,2,4,3,58,49,40,beginner_front_end
Robert Gallagher,92904888,58,57,55,1,3,13,0,5,2,69,93,86,beginner_data_science
Marjorie Owens,61572797,22,28,47,4,2,0,7,3,3,41,59,63,beginner_data_science
Geoffrey Lee,61063163,49,53,67,0,3,3,3,3,3,47,70,65,beginner_data_science
Rita Thompson,75391780,0,89,55,7,2,11,6,3,8,77,41,62,advanced_backend
Arnold Hughes,52794886,26,11,41,0,2,4,6,4,3,64,72,60,beginner_data_science
Emily Culbreth,62377020,22,66,52,4,2,8,3,3,6,75,75,58,advanced_backend
Shelby Ross,40580273,46,30,38,2,5,3,2,4,2,49,71,47,advanced_front_end
Katie Highbaugh,61732372,59,82,16,6,2,4,9,7,4,57,41,65,advanced_data_science
Mary Dickson,42934070,78,58,20,7,2,6,6,4,5,50,60,96,advanced_data_science
Kathy Hill,91665077,39,73,46,3,5,4,3,4,1,61,69,36,advanced_front_end
Charles Soto,76684287,77,51,35,3,2,1,7,3,2,60,59,80,advanced_backend
Johnathan Haygood,20041811,13,72,31,5,11,4,4,2,2,71,78,35,advanced_front_end
Steven Myers,11161259,45,19,44,4,5,3,2,5,3,67,61,63,beginner_front_end
Mary Doyle,56888815,74,27,37,4,1,5,4,4,5,44,50,67,advanced_data_science
Dwayne Stadler,51959283,16,93,44,5,6,8,4,3,6,49,63,46,advanced_backend
Jeffrey Gilbert,24331645,43,8,38,4,5,2,4,3,3,67,68,63,beginner_front_end
Earl Hunt,50355444,63,4,0,3,5,4,2,2,3,63,59,65,beginner_front_end
Faye Eslinger,56412823,42,80,44,4,6,4,3,4,3,49,77,41,advanced_front_end
Paul Hartley,88787335,8,34,32,6,3,5,6,2,4,81,77,89,advanced_backend
Florence Petrey,40450973,63,32,40,2,2,4,3,5,8,46,63,87,advanced_data_science
Miriam Peterson,95502663,8,30,13,2,6,2,1,7,2,91,60,62,beginner_backend
William Carson,67922412,71,1,22,0,7,3,2,3,0,50,56,50,advanced_front_end
Gerard Waites,52845442,59,45,23,8,3,6,3,5,3,64,55,76,advanced_backend
Ryan Nolan,96104196,32,37,44,4,4,8,0,0,4,46,87,90,beginner_data_science
Howard Brown,40650146,68,27,31,7,3,7,0,5,1,54,72,60,advanced_data_science
Frederick Burgess,94142797,46,47,38,5,2,5,0,4,3,68,54,73,advanced_data_science
David Coleman,18218413,50,23,14,1,4,5,0,8,0,73,55,66,beginner_front_end
Florence Caraway,78757241,5,36,59,2,4,4,3,7,5,63,86,63,advanced_front_end
Lindsay Franklin,87869195,43,43,33,4,4,6,0,5,3,59,76,76,advanced_data_science
Berta West,82930321,33,39,28,7,7,6,2,1,3,71,62,78,beginner_data_science
Eddie Twiggs,62138349,41,36,55,2,5,4,0,4,3,56,94,99,beginner_data_science
Frances Lynch,14248637,61,52,14,5,4,5,4,8,3,48,74,59,advanced_data_science
Hazel Walters,75830725,21,27,47,0,4,6,5,2,6,85,77,59,beginner_backend
Kathleen Nahhas,96805087,57,64,42,4,2,2,2,5,4,62,71,79,beginner_backend
Hope Johnson,76541837,0,55,35,7,2,8,7,1,5,88,54,73,advanced_backend
Todd Hunter,22522285,60,63,49,3,2,5,4,3,7,79,78,61,advanced_backend
Crystal Abeyta,39625238,41,20,30,2,2,3,3,6,2,70,44,63,beginner_front_end
Cynthia Mcglothin,40192604,43,35,24,2,3,1,1,5,4,76,54,53,beginner_front_end
Richard Seibert,44315082,32,40,43,4,4,6,3,4,2,47,63,70,beginner_data_science
Mark Hunt,34814760,40,79,50,2,1,3,8,4,5,59,62,59,advanced_backend
Rebecca Crawford,79238261,51,96,38,4,6,7,4,1,5,56,50,49,advanced_backend
Jeffrey Marc,56720882,21,34,21,0,3,4,2,4,5,62,68,79,beginner_data_science
Terrie Baker,59235167,69,1,86,3,4,6,4,7,0,52,35,75,beginner_front_end
Herbert Burnett,41520766,23,40,26,1,2,1,9,4,3,55,76,74,advanced_backend
Judy Behm,6921137,26,91,16,5,2,6,0,6,2,84,59,89,advanced_data_science
Albert Ward,41285411,23,59,44,2,3,5,5,4,7,65,87,61,advanced_backend
Leroy Moore,67099843,17,35,38,2,4,2,4,3,7,66,69,74,beginner_backend
Lila Coleman,67528297,62,6,60,4,5,4,4,7,6,65,59,69,beginner_front_end
Joann Beard,67602006,71,44,36,7,1,7,2,5,5,81,63,74,advanced_backend
Christina Watson,93965842,55,57,12,5,5,5,1,5,3,73,47,50,beginner_front_end
Cristal West,54465598,71,34,28,2,8,5,4,3,0,62,75,38,advanced_front_end
John Perry,71435470,33,50,66,2,2,0,4,5,3.367830486,84,98,96,beginner_backend
Carmen Rivers,35191726,25,41,80,0,5,4,1,2,5,60,40,79,advanced_data_science
Kelli Howard,3399421,54,25,28,1,6,4,3,4,3,43,69,50,advanced_front_end
Tommy Long,44996255,48,39,32,5,3,3,6,2,6,78,76,73,advanced_backend
Gerry Camp,45637855,51,52,42,2,0,3,3,7,2,59,52,62,beginner_backend
Shirley Peters,2274309,0,68,52,7,3,9,5,2,7,73,58,90,advanced_backend
Ethel Fultz,53837017,15,27,45,5,7,3,4,3,7,78,88,79,beginner_backend
Angela Lavergne,77087685,73,65,37,6,2,0,5,4.344120442,1,70,70,91,beginner_backend
Edward Mullen,76910574,18,48,34,3,3,3,7,4,6,74,83,59,advanced_backend
Andrew Parr,11138926,25,40,58,5,3,6,3,3,3,60,73,67,beginner_data_science
Joseph Harris,54612192,57,65,12,11,4,6,3,4,0,71,76,88,advanced_data_science
David Ortiz,20779533,26,62,39,4,1,6,1,2,4,84,84,73,advanced_backend
Donald Hartley,99892526,4,20,43,8,4,7,2,6,9,87,85,80,advanced_backend
Holly Tucker,34495504,33,30,53,2,4,6,1,4,3.367830486,71,67,77,beginner_data_science
Darlene Youngblood,26960053,61,68,43,5,8,3,4,3,1,71,71,51,advanced_front_end
Kevin Lamey,95029065,81,43,37,7,5,6,2,3,2,57,62,57,beginner_front_end
Crystal Breisch,75680696,23,25,45,4,3,10,2,2,2,59,97,83,beginner_data_science
Damian Carter,42689215,69,63,44,2,5,0,6,3,2,59,74,100,advanced_front_end
Allen White,12945726,24,29,86,5,0,8,6,0,2,67,67.18730557,48,beginner_data_science
Richard Avery,42658284,30,10,30,2,5,6,0,4,3,43,71,28,advanced_front_end
Alfredo Stanfield,92758139,63,21,75,2,1,6,1,3,5,56,47,61,advanced_data_science
Cheryl Jordan,92462875,47,0,61,3,3,2,6,7,2,69,48,70,beginner_front_end
Douglass Dalton,16933697,7,48,0,3,0,0,3,5,2,83,67,77,beginner_backend
Doris Burke,23825623,21,32,50,3,2,4,4,9,2,84,55,66,beginner_front_end
Louis Blake,80012437,46,24,43,1,2,0,7,5,2,47,43,54,beginner_data_science
Kelly Goldstein,51507107,43,65,14,4,0,2,1,6,4,59,71,70,beginner_backend
Shirley Bucci,64668830,63,56,63,4,2,3,5,7,0,81,88,80,beginner_backend
Mark Garcia,29696716,33,69,23,4,2,3,2,3,2,78,82,66,beginner_backend
Stephen Jordan,86118476,0,78,54,6,1,7,10,0,2,83,52,64,advanced_backend
Kim Dreessen,14495747,68,66,39,2,6,4,2,8,3,69,29,37,beginner_front_end
Jason Wells,26549263,41,36,50,2,5,3,4,6,2,74,55,59,beginner_front_end
Charles Travillian,21668235,33,42,59,2,1,3,6,2,7,58,92,87,beginner_backend
Jung Garcia,77826164,76,11,37,5,4,2,6,4,4,46,73,79,advanced_data_science
Bobbie Cervone,44356814,78,33,48,4,7,4,6,1,2,50,62,59,beginner_front_end
Stacey Getz,23217194,12,60,32,3,8,5,6,4,4,87,78,63,advanced_front_end
Terry Mann,15525432,16,44,37,3,5,2,3,6,4,57,85,78,advanced_front_end
Jeffrey Grisby,33636421,60,38,68,5,2,5,3,0,1,65,43,76,advanced_data_science
Alicia Bond,26731875,56,32,28,4,2,4,7,5,9,76,75,69,advanced_backend
Thomas Thayer,11128166,53,12,48,6,5,6,4,6,2,72,47,69,beginner_front_end
Claire Jordan,14431749,0,23,23,1,5,4,2,0,8,93,69,58,beginner_backend
Jesse Philbrick,80921026,35,48,31,5,2,5,0,3,2,84,59,91,advanced_data_science
Carl Brown,67817918,92,19,54,3,6,8,3,6,0,48,46,73,beginner_front_end
Glenn Horner,92555399,36,35,40,3,4,4,0,5,4,54,56,63,advanced_data_science
Paul Rubie,76548921,57,69,17,7,0,9,1,5,6,66,72,99,advanced_data_science
Glen Taylor,22562807,43,35,13,5,4,5,6,6,6,61,73,46,advanced_backend
Torrie Christopher,29018221,13,59,29,3,8,2,3,5,3,29,87,38,advanced_front_end
Paul Stanger,94384589,54,67,30,3,0,2,1,7,0,55,49,51,beginner_backend
Jacqueline Espinal,71581814,0,41,0,0,0,4,2,1,5,78,58,41,beginner_backend
Debra Keen,22008108,14,18,44,4,1,5,4,2,3,60,58,60,beginner_data_science
Torie Napolitano,29637011,0,30,60,1,3,6,5,8,6,67,69,69,advanced_front_end
Lori Kling,51461632,57,49,27,4,3,5,5,7,5,37,55,50,advanced_data_science
Barbara Baxter,99862873,55,85,26,6,4,3,7,3,4,61,50,96,advanced_data_science
Betsy Matthews,97687502,22,13,49,0,6,2,2,7,1,34,56,48,advanced_front_end
Sheena Hamilton,61651122,52,45,64,3,0,1,5,3,7,52,80,81,beginner_backend
Michael Mccord,62842877,37,48,67,3,0,2,5,3,4,71,90,83,beginner_backend
Donald Henderson,97237385,28,75,37,6,3,7,2,5,1,54,62,59,advanced_backend
Dean Solomon,90213433,30,31,41,2,5,4,0,4,4,42,69,91,beginner_data_science
Yvonne Hahn,42333262,27,75,57,4,0,5,6,3,4,77,66,83,advanced_backend
Winston Frith,18881457,79,26,22,5,8,6,3,3,5,58,58,62,beginner_front_end
Raymond Hill,75805490,16,117,48,6,7,0,4,4,2,67,81,59,advanced_front_end
Cecil Howard,21787501,87,35,6,2,5,3,3,5,5,58,42,46,beginner_front_end
Beverly Johnson,29293568,11,47,11,1,3,1,1,4,4,85,62,63,beginner_backend
Gail Carlson,48125977,60,56,6,7,2,7,4,8,4,53,64,60,advanced_data_science
Scott Gregg,64123246,15,32,5,1,2,0,3,3,4,88,55,47,beginner_front_end
James Conaway,21973176,54,43,22,4,4,2,3,4,5,70,61,52,beginner_front_end
Jill Shields,41221452,51,46,20,4,3,4,5,4,4,46,49,75,advanced_data_science
Conception Ellington,22568504,0,35,30,7,3,6,7,2,8,88,77,78,advanced_backend
Bonnie King,95376343,63,50,45,4,3,2,5,6,9,63,67,86,advanced_backend
Micheal Lail,15429007,25,57,50,4,0,5,5,4,7,80,72,84,advanced_backend
Katharine Robinson,41628210,67,50,23,3,8,5,3,8,6,70,56,55,beginner_front_end
Joel Whittenburg,25956229,21,33,10,3,2,3,5,6,3,62,59,60,beginner_backend
Carole Ascolese,15271526,66,48,40,1,6,4,7,8,1,68,85,73,beginner_data_science
Kelly Jacks,73395241,40,80,37,6,3,4,5,3,1,71,29,72,advanced_data_science
Evelyn Petro,82038728,43,86,20,6,3,7,5,8,3,54,57,50,advanced_data_science
Blanca Wilson,73285633,36,53,16,5,2,6,4,1,4,77,75,66,advanced_backend
Jessica Dozier,41786857,48,41,32,2,5,4,3,5,3,46,69,52,advanced_front_end
Anna Gregory,23599410,42,47,58,2,6,7,2,4,2,63,96,81,beginner_data_science
Todd Colon,86372706,43,54,39,7,0,6,4,1,5,62,47,97,advanced_data_science
Carlos Randolph,65219758,35,58,33,3,4,1,6,2,1,61,66,78,advanced_backend
Mellissa Halyk,76653480,21,76,75,5,5,0,4,6,3,83,70,87,advanced_front_end
Emerson Loveall,24813897,25,39,13,4,3,0,0,4,1,82,88,52,beginner_front_end
David Ortiz,84478782,32,62,40,4,6,4,3,4,2,63,72,45,advanced_front_end
Benito Borgman,6917437,38,41,28,2,2,4,6,7,9,62,78,65,advanced_backend
Manuel Roman,45775750,12,65,61,5,0,4,4,0,1,99,0,100,advanced_backend
William Marlow,56032454,24,57,9,6,5,6,4,1,4,68,66,65,advanced_backend
Christian Kinder,95351620,13,34,58,3,1,9,6,3,1,47,91,60,beginner_data_science
Jorge Oloughlin,25549765,52,22,25,4,6,3,5,7,4,80,62,66,beginner_front_end
Alfred Espinoza,71158421,44,64,19,6,6,0,2,2,6,43,44,86,beginner_data_science
Brian Wells,32576962,14,10,44,1,0,8,0,1,4,43,70,78,beginner_data_science
Elliot Martinez,60618250,40,69,28,5,3,2,6,2,3,67,39,94,advanced_data_science
Jason Sosa,62166250,19,48,20,4,1,1,5,3,0,72,73,85,advanced_backend
Ed Nelson,49230072,0,0,73,3,8,4,5,5,3,85,76,68,beginner_backend
Dominick Sharpless,19386855,64,63,45,5,2,4,4,5,2,68,74,78,beginner_backend
Kim Ellard,58494691,0,68,46,4,2,7,3,2,5,76,85,66,advanced_backend
Kathleen Eckerson,75685662,77,41,47,5,6,5,4,4,2,67,63,48,advanced_front_end
Alexander Shaw,60356387,4,46,92,2,1,0,0,6,3,52,56,77,advanced_front_end
Carolyn Meres,90896417,30,22,40,3,4,0,2,7,2,77,66,58,beginner_front_end
Amanda Laws,67765295,20,28,9,7,4,7,3,3,8,81,85,68,advanced_backend
Melinda Amaro,56435978,33,32,21,3,2,3,5,8,2,57,54,73,beginner_backend
Joshua Tolliver,65990116,0,19,39,1,5,5,5,5,2,80,76,67,beginner_backend
David Mitchell,72118816,1,59,31,2,8,5,5,6,3,62,75,50,advanced_front_end
Joel Jamerson,54030830,36,68,57,3,3,7,1,3,7,75,81,65,advanced_backend
Adam Valenzuela,38468139,63,53,30,6,3,4,5,3,3,59,41,79,advanced_data_science
Neal Payne,88519404,0,35,26,7,3,6,7,4,4,71,66,84,advanced_backend
Monique Barker,9106180,3,22,33,2,4,6,2,5,3,60,45,77,beginner_data_science
Everett Baker,58114211,77,40,42,0,2,3,0,7,0,0,17,42,beginner_front_end
Kimberly Parrish,95282940,76,0,78,3,6,7,5,6,0,49,57,94,beginner_front_end
Rosemary Golden,24587293,27,32,71,4,2,2,4,2,4,47,52,61,beginner_data_science
Gloria Reynolds,66830829,35,59,41,4,7,3,4,4,2,68,72,64,advanced_front_end
Kellie Sparks,28036509,52,54,60,4,4,3,3,7,1,65,70,77,beginner_backend
Amber Webster,63867937,82,54,17,6,4,7,1,4,3,52,59,56,advanced_backend
Jerry Cooper,8587260,42,49,60,3,0,4,3,5,5,72,80,100,advanced_backend
Allen Goodrum,712698,60,51,39,0,1,3,8,5,10,67,84,58,advanced_backend
Alice Branco,91645404,23,52,7,3,4,2,4,7,7,93,56,51,beginner_front_end
Estella Fowler,56112719,7,54,41,5,5,8,4,6,4,79,75,43,advanced_front_end
Isaac Lopez,21763283,48,26,43,7,2,6,0,2,1,75,52,76,advanced_data_science
Jay Burdick,34095632,37.56529571,52,46,5,3,1,2,8,2,67,70,93,beginner_backend
Michael Root,34377609,24,44,29,3,3,0,3,5,3,79,60,48,beginner_front_end
Norman Reavis,98015325,53,84,8,5,1,2,3,4,3,66,71,62,beginner_backend
Gene Whitfield,99264636,34,16,45,2,2,3,5,4,4,77,70,70,beginner_data_science
Bruce Nelson,30848626,11,67,32,7,6,7,6,3,3,53,62,43,advanced_backend
Gregory Kerns,88788027,64,29,47,7,3,5,6,1,3,45,54,75,advanced_data_science
Bonnie Bergeron,48472642,63,89,0,4,0,0,2,8,1,47,33,62,beginner_backend
Rhonda Johnson,73464644,0,64,52,7,2,7,5,4,5,84,68,71,advanced_backend
Gerald Allen,74418408,30,53,38,4,4,3,2,5,0,73,40,60,advanced_data_science
Alicia Wainwright,61334319,3,0,31,0,0,5,3,4,5,86,98,80,beginner_data_science
Karen Woods,53749407,38,3,60,3,1,3,0,5,4,49,69,59,advanced_front_end
John Myers,83832214,11,51,20,2,5,3,0,1,9,73,76,67,beginner_backend
Mary Conti,26950386,42,20,9,1,8,7,3,5,1,51,66,18,advanced_front_end
Thomas Garcia,93777741,5,15,36,1,4,7,3,8,6,44,73,44,advanced_front_end
Mary Bower,47113082,15,5,31,1,1,6,2,4,3,49,78,78,beginner_data_science
Aimee Ingram,99115351,59,69,14,4,1,0,3,5,5,59,64,71,beginner_backend
Vera Smith,8815858,11,45,37,2,5,1,0,8,0,82,46,78,beginner_backend
Jeffrey Newton,2300332,19,59,17,3,2,5,4,1,4,72,65,50,beginner_backend
James Kelley,40230371,34,25,41,3,4,3,4,2,5,71,70,70,beginner_data_science
Justin Russell,1794178,43,27,59,4,5,5,3,5,3,81,65,63,advanced_front_end
Elma Curtis,84233389,27,58,90,3,0,7,4,5,10,99,87,83,advanced_backend
Jesus Miller,67085045,23,22,17,4,4,0,4,3,4,87,81,60,beginner_front_end
Louise Bancroft,40817872,15,27,50,2,3,2,1,6,5,27,81,54,advanced_front_end
Domingo Eliott,55072463,51,6,0,7,2,5,6,5,7,83,73,70,advanced_backend
Jerry Rice,59730760,31,32,19,5,5,2,7,1,3,68,77,84,advanced_backend
Iris Morris,49250399,25,39,35,6,3,6,3,5,8,71,81,81,advanced_backend
Ruth Mann,12910529,7,48,40,4,2,6,5,3,7,80,82,74,advanced_backend
Sandra Sanchez,8010320,79,33,10,2,3,4,1,5,2,55,47,51,beginner_front_end
Arthur Lininger,74293680,14,44,33,6,2,5,5,4,2,74,71,77,beginner_data_science
Thomas Boday,21839259,21,33,40,0,0,7,2,8,2,49,84,81,beginner_data_science
Marci Salazar,41472453,54,42,9,2,4,4,4,4,6,73,63,55,beginner_front_end
Todd Jackson,87713462,59,39,45,3,5,4,4,7,3,47,60,54,advanced_data_science
Michael Calderon,2378191,53,68,82,4,4,4,3,3,3,41,65,70,beginner_data_science
Ethel Villicana,14383365,43,32,20,0,3,6,0,5,4,64.93900101,70,95,beginner_data_science
Alberto Morehouse,48249163,10,31,38,3,4,4,3,3,5,69,67,67,beginner_backend
Kimberly Williams,71137797,45,66,8,8,3,4,4,3,0,77,33,59,advanced_data_science
Joseph Badami,93284186,25,66,2,1,1,0,0,9,0,89,60,67.1104446,beginner_backend
Phillip Cedillo,47742605,17,54,26,4,3,6,9,3,8,66,78,40,advanced_backend
Linda Dunagan,39285010,22,63,41,5,4,1,1,0,7,30,50,67,beginner_data_science
Sarah Benson,15081115,53,13,37,1,5,3,1,7,3,71,38,60,beginner_front_end
Rita Reed,50114797,54,47,60,3,3,3,3,6,2,71,58,78,advanced_data_science
Ashley Lemaster,341107,108,25,4,3,8,9,4,3,4,52,64,70,beginner_front_end
Tami Hall,43783779,5,23,39,4,6,4,4,5,2,90,76,66,beginner_backend
Lorraine Sturgill,59009172,21,13,46,4,4,1,5,4,3,61,66,66,beginner_data_science
Emily Newton,20422747,66,5,15,0,4,4,1,1,0,53,66,71,beginner_front_end
Monica Miller,915083,60,39,0,6,3,5,1,7,2,59,49,52,advanced_data_science
Rose Mccright,95631349,2,49,42,8,3,6,2,4,3,76,71,90,advanced_backend
Jamie Alaniz,64256319,44,63,9,3,8,2,2,5,6,79,66,45,beginner_front_end
Tiffany Johnson,41715905,57,83,34,2,9,2,5,2,0,53,62,41,advanced_front_end
Leo Mucher,58888219,67,63,65,5,4,2,3,8,1,66,76,83,beginner_backend
Fawn Hall,27479232,19,11,48,2,2,1,7,2,3,48,47,47,beginner_data_science
Leonard Esparza,66955066,31,16,52,3,2,3,3,2,4,52,71,73,beginner_data_science
Francoise Cespedes,67901583,44,57,0,7,4,4,1,9,0,71,73,56,advanced_data_science
Frieda Bryan,18163480,9,44,35,6,3,4,4,3,2,78,62,100,advanced_backend
Robert Lewis,68790935,11,51,31,6,2,7,3,1,6,88,81,74,advanced_backend
Alex Harris,95498756,12,78,69,3,1,7,5,7,7,52,73,64,advanced_backend
Evelyn Mccollum,84595044,48,1,55,2,6,3,5,6,3,64,69,79,beginner_front_end
Jeffrey Gant,25375644,41,43,69,6,3,2,2,0,6,63,75,70,beginner_data_science
Cora Faith,24772107,58,81,42,4,4,3,5,6,2,74,54,74,advanced_data_science
Hector Haraway,55586068,12,83,55,5,6,3,3,4,4,45,75,39,advanced_front_end
Salvatore Crawford,22137788,2,58,45,4,5,2,3,6,5,44,83,58,advanced_front_end
James Swain,32558881,58,35,24,5,2,4,4,4,4,75,86,56,advanced_backend
Charlene Irvine,12847507,55,59,52,4,6,8,3,4,1,74,83,71,beginner_data_science
Seth Smith,36384978,54,38,45,3,5,1,7,3,3,48,53,66,advanced_data_science
Michael Brame,33049930,28,31,40,4,6,4,5,4,2,63,61,68,beginner_data_science
Bonita Smith,15175955,17,35,56,1,6,3,3,5,3,56,73,59,advanced_front_end
Stacia Davis,18668311,6,0,9,0,3,4,3,5,2,75,74,80,beginner_data_science
Nathan Watson,12754639,19,30,10,2,4,3,1,7,1,78,47,62,beginner_backend
September Gonzalez,32504543,47,57,32,6,2,6,1,6,1,73,53,59,advanced_data_science
Donna Villena,53918724,42,10,48,2,5,4,2,5,3,59,62,56,advanced_front_end
Mary Brafford,92557702,57,35,53,4,6,3,4,5,3,66,61,62,beginner_front_end
Charles Rodriguez,18136929,29,41,0,3,6,1,4,6,11,95,70,46,beginner_front_end
Beverly Lincoln,20372909,49,62,44,3,0,4,4,4,3,52,77,61,beginner_backend
Mary Burrus,46644755,25,36,49,0,2,4,2,3,4,91,86,61,beginner_backend
Barbara Choe,2215214,66,42,0,9,3,5,4,4,1,64,61,77,advanced_data_science
Dyan Moore,21228333,23,24,38,1,9,3,1,3,0,55,81,35,advanced_front_end
John Nettles,94557099,44,39,17,3,1,3,0,4,3,77,34,46,advanced_data_science
Rose Wright,31031114,26,68,0,2,0,3,0,5,3,68,67,61,beginner_backend
Clyde Martinez,99664271,13,55,37,5,3,6,2,3,6,78,77,88,advanced_backend
Mary Doctor,47295250,33,39,44,2,1,4,6,3,3,74,79,65,beginner_backend
Valerie Darrah,72659190,41,54,59,4,5,2,1,3,2,57,73,46,advanced_front_end
Brad Bryant,34059135,0,85,28,0,5,3,9,7,5,65,73,89,advanced_front_end
Victor Stricklin,12663116,51,38,42,5,7,5,3,4,2,63,64,41,advanced_front_end
Clara Glover,31990835,40,25,53,3,5,5,3,4,3,73,91,82,beginner_data_science
Brock Taylor,12809345,68,7,80,4,5,6,5,6,2,62,30,69,beginner_front_end
Mario Hitzeman,79922787,23,0,36,1,2,5,4,5,2,66,68,70,beginner_data_science
Angelique Lepard,45347874,25,29,28,0,4,2,5,9,1,29,59,70,beginner_data_science
James Basey,35016911,84,50,48,5,0,9,3,5,7,54,61,91,advanced_data_science
Jeremy Melle,89016467,85,1,30,2,6,5,3,4,3,53,56,70,beginner_front_end
Joseph Valdez,46651820,38,66,26,1,1,7,4,2,3,63,67,49,beginner_backend
Danilo Streeter,3858925,51,37,49,1,4,2,4,6,3,60,61,83,advanced_front_end
Irene Benz,25440034,42,19,24,5,3,4,7,3,9,87,84,71,advanced_backend
Rachel Owens,12198553,22,19,51,1,3,7,2,5,3,78,54,51,advanced_front_end
Lisa Stone,82425616,50,5,53,3,4,0,0,6,3,28,78,57,advanced_front_end
Christopher Adams,60313192,9,58,40,2,5,4,2,10,2,62,67,45,advanced_data_science
Nancy Culbertson,16702687,13,34,54,1,3,4,2,6,0,89,81,73,beginner_backend
Loretta Bartlett,3915682,70,24,59,0,4,5,5,6,1,64,76,76,beginner_data_science
Shannon Gaston,63932331,0,75,56,2,4,2,2,6,5,37,78,45,advanced_front_end
Wendy Okura,82922607,31,63,9,6,8,6,0,7,3,68,64,65,beginner_backend
Richard Panther,79059094,34,56,15,4,5,3,3,6,3,59,66,70,advanced_data_science
Linda Wells,51897896,13,61,0,2,6,5,0,5,1,96,76,50,beginner_backend
Robert Mikasa,78695600,34,44,22,5,6,3,6,5,3,88,76,88,beginner_backend
Jennifer Lucas,65581145,25,27,84,4,1,6,6,3,2,74,100,52,beginner_data_science
Lillian Hamilton,46328528,39,70,63,4,3,3,2,3,3,62,75,58,advanced_front_end
Rosalie Mcgee,59528928,10,20,77,2,2,7,0,3,3,65,75,71,beginner_data_science
Elsie Dibble,17498111,75,26,44,3,9,2,1,2,0,40,62,17,advanced_front_end
Steven Wilcox,28532971,54,40,27,5,4,6,2,7,2,43,62,43,advanced_data_science
James Abbott,25527369,39,21,45,2,4,4,0,3,5,73,67,87,beginner_data_science
Antonio Walton,70937454,42,76,19,7,4,4,2,5,0,80,31,60,advanced_data_science
Janna Lloyd,1596650,12,1,36,2,0,4,2,5,6,86,83,86,beginner_data_science
Chris Hallenbeck,73910133,21,78,39,4,0,0,0,4,1,84,36,23,beginner_front_end
Donna Dolphin,33662056,28,12,18,6,6,4,6,5,10,73,78,85,advanced_backend
Edith Frost,38934924,30,59,18,2,1,5,3,3,4,65,65,64,beginner_backend
Rafael Hughes,20098163,73,31,8,4,7,6,3,7,5,71,76,71,beginner_front_end
Lillian Brito,70385378,20,83,15,4,2,6,2,4,3,71,48,83,advanced_data_science
Brenda Murders,67207116,0,33,35,5,1,5,7,5,7,79,86,80,advanced_backend
Anne Wissmann,11300831,9,17,23,0,3,4,4,5,2,35,42,62,beginner_data_science
Cristal Sawyer,79793677,34,67,23,4,5,1,0,5,0,80,64,44,beginner_front_end
Richard Cohen,43119562,45,22,25,0,4,4,3,4,5,34,65,59,advanced_front_end
