NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,PROFILE,FAV_COURS,HAT_COURS
Weldon Carpenter,70420896,14,20,15,13.39519742,19.46805218,0,3,7,1,0,0,5,4,2,2,0,72,92,0,18.51524953,intermediate_frontend,FRONTEND,IA
Aaron Kerr,32919428,33,72,15,16.51323781,15.95572249,5,4,6,0,2,3,0,2,1,2,73,63,60,33.34292809,30.01881864,intermediate_backend,BACKEND,BDD
Jose Jean,41385166,53,46,40,22.93464421,30.53940424,2,7,2,2,0,5,4,1,2,0,79,72,74,35.552428,23.26077503,intermediate_datascience,DATASCIENCE,BDD
Robert Double,4653307,29,62,39,13.27328855,26.95460703,6,5,7,1,0,3,3,6,0,2,67,71,72,12.91436779,24.05855955,intermediate_backend,BACKEND,IA
Marie Gallinari,42553317,29,42,25,6.057598996,2.506302134,3,2,4,2,1,4,5,5,0,0,58,74,78,9.511395712,51.12136703,intermediate_backend,BACKEND,IA
James Brocato,11368792,46,58,44,16.96052986,27.38664918,5,7,3,2,2,5,8,5,2,1,80,59,57,62.22973952,17.1292392,intermediate_datascience,DATASCIENCE,BDD
Janet Salcedo,91779882,7,66,9,2.588692792,34.10620186,0,3,0,0,1,0,3,5,2,0,0,62,25,0,0.955249914,intermediate_backend,BACKEND,IA
Albert Mcgown,30462870,22,51,29,1.151810444,43.58884361,8,3,10,0,0,6,6,8,2,0,76,61,37,0.482765468,21.42817146,intermediate_backend,BACKEND,IA
Robert Robinson,85894901,24,40,36,18.42162308,29.29396279,5,2,5,1,0,2,2,4,2,2,44,79,81,36.75285917,73.63353591,intermediate_backend,BACKEND,IA
Christine Lupez,75011308,69,49,51,28.7388058,3.885821263,4,0,1,1,0,9,9,0,2,1,52,64,81,6.311702919,42.13656518,intermediate_frontend,FRONTEND,IA
Matthew Pruitt,68579535,5,54,46,4.110899434,11.29478491,3,6,3,2,1,3,5,5,2,0,57,94,56,42.04781968,48.50770193,intermediate_backend,BACKEND,IA
Sterling Murelli,40414274,41,48,79,34.86426805,14.97060884,4,2,3,0,0,2,5,2,1,1,74,60,66,7.108722527,26.48834742,intermediate_frontend,FRONTEND,BDD
John Barger,23730802,53,48,51,11.2356849,5.58756895,4,2,2,0,2,6,6,2,0,1,66,64,75,64.11089192,54.15700844,intermediate_frontend,FRONTEND,BDD
Sandra Coffey,59308057,53,36,43,34.83973456,16.44836655,4,4,6,2,0,2,5,3,2,2,43,65,24,38.72197198,8.03839118,intermediate_backend,BACKEND,BDD
Jackie Katz,31719107,62,57,59,29.28147186,56.10562388,4,6,7,0,1,3,5,1,1,1,64,100,91,11.71317435,30.84782048,intermediate_backend,BACKEND,IA
Marlon Morataya,83094355,5,41,3,4.40078369,21.09912444,6,5,6,1,0,7,1,6,1,0,76,78,57,0.640412696,44.25182898,intermediate_backend,BACKEND,IA
Stephen Clark,58229318,0,17,46,0,12.61199686,0,8,6,2,2,1,6,4,2,1,86,71,63,5.130067361,47.26148413,intermediate_frontend,FRONTEND,IA
Mike Pelletier,49712278,67,37,62,45.41348442,25.26869851,5,5,6,0,2,3,3,1,1,1,56,59,58,45.28954529,18.80831222,intermediate_datascience,DATASCIENCE,BDD
Geraldine Templeton,3499420,40,43,23,24.31008489,36.54619171,6,3,5,2,1,0,4,2,0,1,54,60,62,4.146222699,48.31963848,intermediate_backend,BACKEND,IA
Troy Hoare,77665222,16,1,59,4.724823641,0.21572349,2,1,5,0,0,3,3,2,2,2,53,75,68,41.24174375,23.97450265,intermediate_frontend,FRONTEND,BDD
Erwin Godfrey,70108363,70,1,34,9.562063256,0.753826262,1,5,6,0,1,0,9,0,2,2,63,33,71,51.64756945,1.05345924,intermediate_datascience,DATASCIENCE,BDD
Patricia Thorne,38747475,43,62,37,28.0205097,54.6440249,4,3,7,0,2,2,6,5,0,1,52,73,64,15.95931535,37.17544019,intermediate_backend,BACKEND,IA
Daniel Buxton,25969761,29,25,61,21.41932629,4.287745575,2,1,4,1,1,6,3,1,1,1,34,85,64,24.99414006,84.58677835,intermediate_frontend,FRONTEND,IA
William Cameron,69092279,0,0,78,0,0,5,0,6,2,0,5,0,3,2,1,59,0,47,48.39794631,0,intermediate_frontend,FRONTEND,BACKEND
Jerome Lozon,51540733,48,0,40,30.95196499,0,3,5,5,1,0,3,9,3,0,1,74,62,80,57.76634934,19.58000558,intermediate_datascience,DATASCIENCE,BDD
Rebecca Scott,6545357,0,54,66,0,42.16254368,4,4,2,1,2,3,8,5,0,0,52,83,62,9.961339876,40.42579574,intermediate_backend,BACKEND,IA
Joellen Larson,88318171,82,22,36,58.48296443,6.216998316,5,7,7,2,2,2,7,2,2,1,62,61,74,27.8558693,10.93231838,intermediate_datascience,DATASCIENCE,BDD
Erin Ooten,39411617,54,20,41,10.75762484,11.27883539,3,6,6,2,2,1,7,1,0,1,65,50,67,4.435869505,30.09236063,intermediate_datascience,DATASCIENCE,IA
Dewey Guinyard,81459087,23,32,54,20.47494506,12.93843593,2,4,0,0,2,5,4,6,2,0,73,87,87,38.34847555,36.65233995,intermediate_frontend,FRONTEND,BDD
Christina Caywood,68090774,26,38,18,7.472649508,18.6186767,2,4,8,0,2,3,5,2,1,1,59,68,74,26.09710237,27.39016991,intermediate_backend,BACKEND,IA
Carolyn Warren,45133690,8,24,38,2.942287902,8.523988593,3,7,4,2,0,0,5,5,2,2,82,67,64,74.01467983,47.04029394,intermediate_frontend,FRONTEND,BDD
Herbert Dowell,84194351,6,64,44,0.348551712,17.87718519,3,1,3,0,0,5,4,1,2,0,60,77,84,1.085038413,14.32843459,intermediate_backend,BACKEND,IA
Elba Gross,55229669,8,45,3,0.892097699,30.36433686,1,5,0,0,0,1,3,0,0,2,84,98,67.1104446,44.54030982,97.86872036,intermediate_backend,BACKEND,IA
Tabitha Holman,61169486,47,51,34,24.24550943,39.70563257,7,3,5,2,1,2,7,5,0,2,85,54,54,62.2460079,29.55962139,intermediate_datascience,DATASCIENCE,BDD
Dorothy Homan,93193977,34,46,74,9.098151009,40.20202765,6,2,8,1,1,3,0,3,1,1,59,81,64,27.37326371,14.45130101,intermediate_frontend,FRONTEND,IA
Harold Hathaway,53546495,38,87,60,31.74824858,13.51370716,5,8,1,2,2,4,2,0,2,2,82,60,57,19.52326666,4.975302598,intermediate_backend,BACKEND,BDD
Etta James,96184080,55,58,28,0.808136376,47.72562037,5,7,0,2,0,1,4,5,1,0,72,65,90,43.90884044,48.98676503,intermediate_datascience,DATASCIENCE,IA
Mary Scott,11520232,74,58,42,28.0529596,14.77844782,6,6,3,1,2,2,3,2,0,2,59,80,44,58.23921366,18.45129785,intermediate_backend,BACKEND,BDD
Joanne Kelly,92247841,58,38,38,19.56604171,16.23878282,4,5,1,0,0,7,7,2,1,0,55,64,62,2.255007027,47.35901641,intermediate_datascience,DATASCIENCE,IA
Ella Dahl,35121894,36,41,21,0.695794713,36.95919112,8,5,7,1,0,4,2,7,2,2,79,66,67,15.48737981,47.53470047,intermediate_datascience,DATASCIENCE,IA
Raymond Mccombs,11838484,50,55,57,6.21841995,24.99769805,3,4,5,1,0,3,6,4,2,0,57,58,71,27.96458945,57.81351862,intermediate_frontend,FRONTEND,IA
Thomas Bouldin,6893826,55,16,29,22.75034712,3.153016545,1,6,0,2,0,4,4,5,2,1,82,56,77,49.00315041,4.994587732,intermediate_datascience,DATASCIENCE,BDD
Trina Bernard,72792295,38,12,25,18.72885421,1.918423863,1,2,2,0,0,0,4,2,0,1,65,43,52,40.56976394,23.67145793,intermediate_datascience,DATASCIENCE,BDD
Kimberly Ray,41382887,60,49,55,24.25738484,23.17620457,5,4,6,0,0,5,4,4,0,2,41,71,77,2.46858656,49.48620937,intermediate_frontend,FRONTEND,IA
Robert Rodriguez,2153563,0,13,66,0,9.914741512,1,8,6,1,0,2,4,6,2,2,79,85,74,9.710801805,16.37581401,intermediate_frontend,FRONTEND,IA
Cathryn Turner,66325845,32,47,52,19.0442136,46.86864177,3,5,0,2,1,2,10,0,0,1,87,74,67.1104446,82.1872608,57.56370062,intermediate_backend,BACKEND,IA
Chris Urbancic,93361993,33,45,52,0.327486097,35.43338828,2,3,7,1,1,2,5,1,1,1,42,90,81,3.164563258,46.59300741,intermediate_backend,BACKEND,IA
Saundra Sawicki,117091,11,10,39,5.105046754,8.770119589,2,2,7,0,2,2,2,2,1,0,47,56,70,19.69823959,20.90476318,intermediate_frontend,FRONTEND,IA
Cherrie Gehringer,17622122,56,37,21,53.95595749,27.66979735,6,4,5,0,0,3,4,6,2,1,72,74,69,41.56224206,26.8406973,intermediate_datascience,DATASCIENCE,BDD
Clarence Ropp,58357088,41,57,48,21.28032349,51.03980074,2,10,4,2,2,5,3,1,0,1,72,70,41,22.61959685,25.59605521,intermediate_backend,BACKEND,IA
Mary Courtney,82154530,47,48,48,31.84448657,3.662090079,4,5,3,2,1,4,5,0,2,0,70,47,47,17.89748043,36.41958311,intermediate_datascience,DATASCIENCE,BDD
James Heller,24162299,75,12,57,23.38978934,11.15917919,5,2,6,1,0,0,2,3,1,1,55,64,76,15.9613946,61.48559091,intermediate_frontend,FRONTEND,IA
William Jones,67134545,77,23,35,59.59733612,9.117341536,3,3,6,2,1,1,8,3,1,0,60,33,60,16.95664538,21.64772558,intermediate_datascience,DATASCIENCE,BDD
Clara Leingang,60126105,8,49,46,6.183371855,45.15909694,6,6,0,1,1,4,6,8,0,1,89,74,47,33.76616536,16.26712873,intermediate_backend,BACKEND,IA
Ruth Ebeid,67000034,47,58,38,24.50091424,4.392504573,1,1,3,2,2,7,2,7,1,0,79,75,82,9.17019212,9.091281097,intermediate_backend,BACKEND,BDD
Brian Salgado,97475207,31,72,23,30.25642852,51.49749291,5,3,3,1,0,7,6,3,0,1,60,55,78,51.21197525,4.609563158,intermediate_backend,BACKEND,BDD
Susan Foster,49705912,35,54,66,4.394257517,39.72719243,3,6,6,0,2,5,7,2,0,1,76,59,46,57.7147845,33.3125624,intermediate_backend,BACKEND,IA
Janice Andrzejewski,63043520,54,68,7,0.915173904,67.78994047,5,2,4,0,0,4,6,0,1,2,68,58,66,2.319072421,51.50461614,intermediate_backend,BACKEND,IA
Marshall Musigdilok,87440130,60,49,0,46.20949271,37.67390826,8,2,7,0,0,3,7,2,1,0,49,58,47,37.3018748,23.82457162,intermediate_datascience,DATASCIENCE,FRONTEND
Lyda Halasz,79346045,38,67,13,30.67191042,25.63243829,4,5,3,0,0,5,7,0,2,1,62,46,48,51.33937401,6.932453091,intermediate_backend,BACKEND,BDD
David Sammon,5386220,31,14,48,3.726424103,7.801479723,3,5,4,0,1,0,5,2,0,2,61,68,45,56.24323996,30.24589941,intermediate_frontend,FRONTEND,BDD
Luella Carlson,63776758,63,28,33,16.73171848,10.26342627,3,2,7,0,1,2,6,9,2,2,69,83,88,42.29341434,65.86684499,intermediate_datascience,DATASCIENCE,IA
Donald Vernon,31317471,67,43,20,1.176008346,8.428801748,7,7,6,2,2,5,4,5,0,0,71,63,59,60.55139151,49.05405939,intermediate_datascience,DATASCIENCE,BDD
Michelle Barker,41160604,9,82,65,2.639777497,20.37719086,4,4,1,2,2,4,6,5,1,2,68,88,88,51.61909675,34.90061228,intermediate_backend,BACKEND,IA
James Breden,61367370,15,18,71,11.59712811,3.996189617,1,6,3,2,2,1,5,1,0,1,75,82,49,1.905915221,39.45086905,intermediate_frontend,FRONTEND,IA
Paul Wellington,33566733,57,19,37,29.52375008,10.42749127,6,5,4,1,1,2,1,0,2,2,57,51,63,46.22842834,32.19259827,intermediate_datascience,DATASCIENCE,BDD
Jodi Overstreet,43171923,24,57,17,8.354294236,51.65115617,2,0,1,2,1,0,3,0,0,0,82,30,32,47.6433723,15.3661363,intermediate_datascience,DATASCIENCE,FRONTEND
Leonard Starnes,26335550,57,35,50,21.18913981,31.94543191,7,2,8,2,0,0,1,2,1,0,68,54,82,44.23779237,13.13129789,intermediate_frontend,FRONTEND,BDD
Sidney Shaffer,10519835,44,39,76,0.059559531,2.135787324,3,5,1,1,0,4,4,2,2,1,62,57,49,54.86576362,44.11891862,intermediate_frontend,FRONTEND,BDD
Natalie Robinson,33692290,41,63,16,12.29182163,5.03366226,4,4,3,1,2,0,5,3,0,1,86,72,64,0.896546415,31.50335543,intermediate_backend,BACKEND,IA
Randi Schiro,47964859,3,13,62,1.939376225,3.186547743,1,3,1,0,0,3,8,1,0,1,80,71,84,8.631461578,24.39213397,intermediate_frontend,FRONTEND,IA
Ramon Branch,71917544,43,20,60,41.89036108,5.101189049,3,9,4,2,0,7,6,2,0,2,69,81,80,39.59192241,22.80919661,intermediate_frontend,FRONTEND,BDD
Debra Pesso,97337725,41,44,27,34.72949391,4.175123711,6,5,3,2,1,4,1,0,0,1,66,62,81,27.03639129,54.43433213,intermediate_frontend,FRONTEND,BDD
Nicolas Sanches,20923523,46,82,3,1.085368374,31.85399398,8,0,8,1,1,3,2,5,0,1,62,58,96,25.91849507,17.30009391,intermediate_backend,BACKEND,IA
Travis Roussel,992203,44,46,57,39.53666661,27.03536806,5,6,3,0,1,2,1,1,1,1,67,65,91,20.91773885,45.61500064,intermediate_frontend,FRONTEND,IA
Roger Ford,58188118,22,1,85,17.23036509,0.578162201,3,0,1,2,2,0,7,5,1,0,28,67,56,22.91917726,20.16462048,intermediate_frontend,FRONTEND,BDD
Joseph Copeland,65445056,98,120,7,76.47686011,65.21156175,6,0,1,1,1,0,7,1,2,1,50,57,76,5.178025526,14.11021329,intermediate_backend,BACKEND,BDD
Brian Caldwell,82563002,25,69,9,11.44989398,23.36836282,3,1,3,1,2,4,2,2,0,2,85,73,65,45.30252365,30.51983269,intermediate_backend,BACKEND,BDD
Susan Henry,45605265,57,13,56,22.6863017,9.183923909,4,6,6,2,0,7,6,3,1,0,71,50,76,32.53348915,47.12284875,intermediate_frontend,FRONTEND,IA
Bertha Telleria,79430892,35,25,37,10.60205051,20.66209852,2,3,5,1,0,6,5,1,1,1,65,80,66,35.83529681,66.28066824,intermediate_backend,BACKEND,IA
Waylon Douglas,17203671,21,51,1,1.379592038,17.65998759,4,4,4,1,0,4,6,2,0,1,72,64,78,3.640334234,17.74477786,intermediate_backend,BACKEND,IA
John Morris,98687430,10,34,70,2.282353635,2.908202216,9,2,4,2,0,0,0,6,2,0,43,49,66,28.97174099,17.74069596,intermediate_frontend,FRONTEND,BDD
Willie Mccarty,46235123,45,62,37,11.09716357,18.37247557,4,4,4,0,1,3,7,2,0,0,67,47,55,0.905973645,28.58413709,intermediate_datascience,DATASCIENCE,IA
Mildred Walker,76110532,10,31,4,4.840770697,4.258428292,2,6,5,2,0,2,7,0,2,0,86,50,51,45.39342837,21.37412754,intermediate_datascience,DATASCIENCE,BDD
Forrest Flowers,55645817,50,74,25,37.37222033,34.58454581,3,3,3,0,1,6,7,4,2,2,65,50,79,17.2581636,43.61009906,intermediate_backend,BACKEND,IA
Basil Herrera,76848377,28,45,0,13.2666752,7.017081809,4,3,1,1,0,2,6,4,1,1,98,68,50,30.67898261,37.29314755,intermediate_datascience,DATASCIENCE,IA
Ray Streiff,49782450,100,0,40,5.784444945,0,3,7,7,2,0,4,4,1,2,1,44,52,75,32.4897092,44.82642632,intermediate_datascience,DATASCIENCE,IA
Charlene Munoz,68935098,44,26,65,42.14275124,5.7460752,2,4,4,2,1,3,6,4,1,1,56,64,55,55.20963242,16.35739511,intermediate_frontend,FRONTEND,BDD
Maria Samuel,32068440,9,26,42,8.484518872,19.20700874,3,1,11,0,2,0,1,2,1,0,34,76,71,16.16190216,52.04772479,intermediate_frontend,FRONTEND,IA
Elizabeth Beebe,57576351,24,49,16,18.84454904,1.350843801,3,8,1,1,1,4,8,3,0,1,87,85,61,58.24773663,35.10521984,intermediate_backend,BACKEND,BDD
Valerie Horne,50096215,50,83,60,49.56639508,46.04394322,2,1,4,2,2,5,3,5,0,1,57,72,71,14.16210912,7.611874973,intermediate_backend,BACKEND,BDD
Penny Morales,59840980,40,56,24,21.77929331,9.491343396,3,5,4,2,1,3,7,1,2,0,76,66,71,42.1044073,25.20754518,intermediate_backend,BACKEND,BDD
Vicky Moore,61539107,10,43,27,9.627683503,0.042650172,4,2,5,1,2,6,2,6,0,1,89,87,66,8.899055942,29.57061297,intermediate_backend,BACKEND,IA
Hugh Garcia,10594703,8,47,48,0.604840325,40.85240414,2,3,1,0,2,3,6,5,0,2,72,84,88,61.21684584,27.02217242,intermediate_frontend,FRONTEND,IA
Shari Goris,43428446,59,30,11,21.57516415,20.14583363,3,2,5,2,1,2,8,4,2,1,79,37,58,36.00192868,23.21056925,intermediate_datascience,DATASCIENCE,BDD
Nicole Nelson,32773055,45,44,48,10.14215706,4.35348417,5,9,2,1,2,4,3,3,0,2,55,56,78,19.88063158,22.73981292,intermediate_frontend,FRONTEND,BDD
Sherry Rodgers,55954926,49,70,50,9.595821123,46.48506574,5,2,3,2,1,4,6,1,1,0,66,81,85,33.88400193,9.094039728,intermediate_backend,BACKEND,IA
Christine Daniel,481333,74,32,36,10.41941822,19.57271465,4,6,4,2,2,3,7,2,0,1,45,51,45,41.08257405,10.74527609,intermediate_datascience,DATASCIENCE,BDD
Su Selman,53969094,16,33,17,9.958618265,15.62077067,4,4,2,2,0,6,0,3,0,2,83,95,66,64.44544823,48.24278854,intermediate_backend,BACKEND,BDD
Jennifer Mcduffie,2958964,33,23,26,25.78362124,9.642936264,0,1,6,0,0,5,6,2,0,1,59,71,65,9.010796582,36.6980112,intermediate_backend,BACKEND,IA
Cindy Morton,609286,18,5,63,10.40937119,4.435348815,2,4,3,1,0,8,7,0,1,0,78,58,80,59.90408148,2.140937633,intermediate_frontend,FRONTEND,BDD
Babara Quintanar,32280457,26,46,36,3.821030449,11.27680892,4,4,3,2,1,3,4,4,2,0,75,79,77,29.4645473,13.83665876,intermediate_backend,BACKEND,BDD
Vivian Troy,47097326,30,47,54,24.3337131,18.72057268,1,5,3,2,2,4,5,1,1,1,81,47,72,31.99620734,30.88484668,intermediate_frontend,FRONTEND,BDD
Jason Kimbrough,14526128,2,21,73,1.271909414,6.911423671,1,2,0,2,0,0,5,2,2,0,53,67,76,40.16388544,23.70218533,intermediate_frontend,FRONTEND,BDD
Michael Sikes,27478055,66,60,5,25.6189366,46.27206174,3,5,4,0,1,4,1,6,1,2,56,73,62,25.74210769,24.45247341,intermediate_backend,BACKEND,IA
Rebecca Alliston,81204988,26,54,24,17.52738768,49.48912654,3,2,3,2,1,2,4,5,0,0,60,64,69,4.348329277,2.995772264,intermediate_backend,BACKEND,IA
Brenda Peter,40159137,47,12,47,12.21553402,10.19738038,4,4,4,1,2,0,0,2,1,0,62,49,73,15.29970115,18.99614196,intermediate_frontend,FRONTEND,IA
Lakesha Marlow,50944304,60,61,44,20.71153251,48.65993975,6,2,2,0,1,7,6,0,2,2,75,81,76,67.09658138,4.754014861,intermediate_backend,BACKEND,BDD
Gordon Lyman,45588807,28,64,36,25.68960361,63.15455652,5,4,8,1,1,3,4,6,0,1,52,68,64,30.78135576,19.21376078,intermediate_backend,BACKEND,IA
Christopher Loewen,7554784,46,56,38,13.36320726,39.04009482,5,5,6,2,2,0,1,4,2,0,54,74,90,46.55957028,8.390832713,intermediate_backend,BACKEND,BDD
Marshall Thomas,40819856,24,31,45,11.27971844,23.28266753,1,2,4,2,0,4,3,5,0,1,78,86,73,23.80181159,72.05466849,intermediate_frontend,FRONTEND,IA
Chester Thomas,43291187,20,24,74,17.80282275,23.58726095,1,2,5,0,2,0,2,5,0,2,63,79,85,43.40413019,15.67111383,intermediate_frontend,FRONTEND,BDD
Shirley Stokes,75781398,49,59,26,34.67834616,0.412456339,7,6,6,2,0,4,4,5,1,1,56,58,61,43.97634036,7.320545523,intermediate_backend,BACKEND,BDD
Fritz Hamilton,73218372,17,60,0,1.057454845,38.04290259,2,3,5,1,0,4,2,5,2,0,81,89,66,14.81417983,75.56221836,intermediate_backend,BACKEND,IA
Brenda Mijangos,58914364,55,53,32,8.101667435,39.16549119,3,3,1,1,0,5,3,3,1,0,56,79,74,1.305890046,49.1286827,intermediate_backend,BACKEND,IA
Brian Pinto,61231303,64,32,10,0.501861809,29.37046572,2,8,5,1,0,4,6,3,2,0,70,81,69,44.40942551,77.03492661,intermediate_datascience,DATASCIENCE,IA
Lucas Hofheimer,7340672,54,36,46,34.06977667,31.81839495,4,2,4,2,1,1,8,5,1,2,59,46,73,34.03621849,28.84097849,intermediate_frontend,FRONTEND,BDD
Norberto Montalvan,85821422,41,100,4,18.35461044,84.19606812,10,2,6,2,0,7,5,1,0,0,71,61,85,2.828144183,41.25096301,intermediate_backend,BACKEND,IA
Robert Dunn,90671879,48,44,23,6.445192843,41.61481597,2,1,3,0,1,8,1,8,2,1,86,76,69,35.32799598,27.46384197,intermediate_datascience,DATASCIENCE,IA
Christina Pyle,78076642,20,64,15,19.15868242,34.39226803,3,5,5,0,2,2,2,5,2,0,74,77,57,41.69288927,57.41463521,intermediate_backend,BACKEND,IA
Pamela Alvarado,27981942,45,43,47,23.83468758,0.29756411,4,6,2,1,0,0,4,5,1,2,78,62,83,16.54192319,36.10206237,intermediate_frontend,FRONTEND,BDD
Cory Simpson,87968518,105,97,57,25.39879588,1.072276674,5,0,0,1,0,5,7,2,2,1,52,81,96,5.020061461,12.87282438,intermediate_backend,BACKEND,BDD
Cindy Hinkle,33864482,18,8,78,9.010864281,4.357112445,2,1,3,0,0,1,8,4,1,1,50,43,69,40.06484506,6.681833255,intermediate_frontend,FRONTEND,BDD
Chad Walker,14125752,13,20,60,8.835064326,8.705444777,4,3,5,0,0,2,1,4,1,2,60,66,69,55.50122592,42.46622904,intermediate_frontend,FRONTEND,BDD
Sharon Green,75840198,39,34,12,2.973329501,15.34233181,2,6,2,1,0,3,2,3,2,1,73,70,57,32.66702023,19.0486965,intermediate_datascience,DATASCIENCE,BDD
Johnny Woodward,30659399,14,57,0,3.845853411,22.82307002,7,3,4,0,2,2,6,0,1,0,73,57,67,9.779972715,31.0051771,intermediate_backend,BACKEND,IA
Thelma Campbell,39538234,26,33,40,20.98110276,30.2849517,3,1,5,2,0,7,5,11,2,1,85,94,59,35.81014354,18.08921781,intermediate_backend,BACKEND,BDD
Gladys Lasley,17966440,18,71,33,8.273967667,25.50109493,3,8,2,2,2,5,5,4,0,2,66,92,72,18.42232155,38.57635476,intermediate_backend,BACKEND,IA
Karen Sanches,90007226,34,0,0,18.58362283,0,9,7,5,0,2,3,6,9,1,1,73,85,100,35.80661815,73.30732792,intermediate_datascience,DATASCIENCE,IA
Hilda Smith,12246975,40,22,19,17.31264009,19.86302546,4,2,4,0,2,5,2,6,0,1,91,83,86,0.821258381,57.32305132,intermediate_datascience,DATASCIENCE,IA
Alton Petrowski,69755865,55,88,27,2.414496845,43.95615576,6,2,4,2,1,7,0,7,1,2,71,100,77,61.55441714,48.73347056,intermediate_backend,BACKEND,IA
Sean Horton,60757745,58,52,49,9.61348723,23.24077794,4,6,4,2,1,6,5,2,2,1,65,74,74,3.776729372,36.36987953,intermediate_backend,BACKEND,IA
Jack Rosenow,1466376,21,40,31,9.356374414,30.44082417,2,5,4,1,0,2,6,2,1,2,84,71,71,36.10857592,27.50194133,intermediate_backend,BACKEND,IA
Ronald Farr,57935988,12,23,36,2.510225585,16.28334468,1,0,0,0,2,2,3,2,1,0,77,58,53,50.90775855,37.8295793,intermediate_datascience,DATASCIENCE,IA
Sharon Lussier,45945162,40,50,23,1.999161146,16.42675583,3,5,3,2,2,0,7,2,2,2,76,52,50,49.48715912,9.79416548,intermediate_datascience,DATASCIENCE,BDD
Patricia Uren,23426116,35,56,91,29.52773824,5.742695052,9,1,7,0,0,3,0,4,0,1,62,68,57,18.48883564,22.92703636,intermediate_frontend,FRONTEND,BDD
Claudia Mcallister,7849130,59,49,55,57.89035922,12.97776761,5,4,5,2,0,3,5,2,2,1,58,62,61,28.97510139,42.13971077,intermediate_datascience,DATASCIENCE,BDD
Mary Garing,2013867,55,36,57,43.62285807,4.717026209,6,3,8,2,2,1,4,2,0,0,51,65,59,25.34216073,46.92825001,intermediate_frontend,FRONTEND,BDD
Cynthia Torres,54215815,19,48,9,16.22191351,14.14714924,2,5,4,0,1,1,8,2,0,1,74,70,73,9.713447264,62.01789968,intermediate_backend,BACKEND,IA
Joseph Hagerman,10834093,37,31,40,8.953153822,8.116468533,5,4,0,1,2,6,3,7,1,1,62,74,77,23.08950705,22.56583059,intermediate_frontend,FRONTEND,BDD
Zoe Ledbetter,22617700,43,84,35,41.30695995,53.56775961,2,2,6,2,0,3,10,3,1,1,70,48,48,8.349648515,40.93121892,intermediate_backend,BACKEND,IA
Jeffery Giordano,55415522,22,51,32,4.332365498,48.67929745,3,6,1,0,2,2,4,3,0,1,83,71,51,4.738434778,58.50786029,intermediate_backend,BACKEND,IA
Eveline Lewis,70718097,48,40,1,45.6686309,27.42974929,7,4,2,2,0,7,2,2,2,2,63,41,93,3.505680404,0.417795408,intermediate_datascience,DATASCIENCE,BDD
John Schlosser,40143059,4,51,48,3.979277176,47.25911981,1,4,1,0,1,3,6,2,0,1,72,54,87,31.3187133,36.32060953,intermediate_frontend,FRONTEND,IA
Yan Perez,66263088,47,33,24,33.45097187,25.87636453,2,4,3,0,2,3,5,2,1,2,53,44,74,38.66923908,33.75172663,intermediate_datascience,DATASCIENCE,BDD
Juan Swanson,60954949,70,13,25,68.68006123,9.462409087,5,3,6,2,0,2,2,1,2,1,53,43,60,52.18098406,0.170114059,intermediate_datascience,DATASCIENCE,BDD
Miguel Quinones,84297174,32,17,18,18.22527295,7.039052984,5,8,1,1,2,1,6,5,2,1,59,93,91,33.70199332,45.9264471,intermediate_backend,BACKEND,IA
Jeremiah Peterson,9293195,62,60,26,16.09159056,19.48767017,5,3,6,2,1,3,6,3,1,1,56,49,62,16.76311676,46.69030684,intermediate_datascience,DATASCIENCE,IA
Marcia Campbell,78856114,25,73,37,10.92489714,61.77824819,3,5,3,2,2,7,6,5,2,0,63,83,85,13.04754944,79.15023986,intermediate_backend,BACKEND,IA
Twyla Clark,26286451,44,12,36,26.11668116,10.8647188,4,3,3,1,0,4,6,2,2,2,71,70,71,49.33272329,51.83182181,intermediate_datascience,DATASCIENCE,BDD
Rebecca Stanley,81830565,34,60,24,2.484773109,27.11294962,3,4,1,1,0,0,6,2,0,0,83,54,40,4.297267044,44.90999036,intermediate_datascience,DATASCIENCE,IA
Nichole Powell,6157614,35,50,44,21.78201426,0.453154909,6,1,6,0,2,3,5,4,0,1,76,63,86,19.93460335,19.37558172,intermediate_frontend,FRONTEND,BDD
Thomas Guerra,63266055,64,14,15,62.79538155,11.09543482,3,6,4,0,2,5,7,5,1,0,69,51,66,47.50979699,23.51433757,intermediate_datascience,DATASCIENCE,BDD
Thomas Hernandez,56677276,0,0,43,0,0,1,2,7,1,0,4,3,1,0,0,62,57,60,27.59137138,56.72945131,intermediate_frontend,FRONTEND,IA
Joseph Norman,83748142,59,72,37,46.76311186,0.711926281,6,4,0,1,0,5,6,0,2,0,73,79,67.1104446,36.51548192,63.776908,intermediate_backend,BACKEND,BDD
